Número,Fecha (dd/mm/aa),Nombre actividad,Costo,Presupuesto,Tiempo invertido,Tipo,Momento,No. de personas
168,16/11/2025,Starbucks,95,145,15,alimentos,mañana,1
169,17/11/2025,Clase de yoga,161,417,60,deporte,mañana,1
170,17/11/2025,Clase de yoga,157,419,60,deporte,mañana,1
171,18/11/2025,Starbucks,116,166,15,alimentos,mañana,1
172,18/11/2025,Clase de yoga,161,403,60,deporte,mañana,1
173,18/11/2025,Snack,50,121,15,alimentos,noche,1
174,19/11/2025,Desayuno,132,232,60,alimentos,mañana,2
175,20/11/2025,Desayuno,116,216,60,alimentos,mañana,1
176,21/11/2025,Clase de yoga,121,344,60,deporte,mañana,1
177,21/11/2025,Clase de yoga,157,392,60,deporte,mañana,1
178,22/11/2025,Starbucks,109,159,15,alimentos,mañana,1
179,22/11/2025,Clase de yoga,139,356,60,deporte,mañana,1
180,23/11/2025,Clase de yoga,180,435,60,deporte,mañana,1
181,23/11/2025,Starbucks,67,117,15,alimentos,mañana,1
182,24/11/2025,Clase de yoga,168,370,60,deporte,mañana,1
183,24/11/2025,Snack,70,110,15,alimentos,noche,1
184,25/11/2025,Desayuno,158,258,60,alimentos,mañana,3
185,25/11/2025,Desayuno,161,261,60,alimentos,mañana,2
186,26/11/2025,Clase de yoga,147,323,60,deporte,mañana,1
187,26/11/2025,Clase de yoga,140,267,60,deporte,mañana,1
188,27/11/2025,Starbucks,104,154,15,alimentos,mañana,1
189,27/11/2025,Clase de yoga,127,322,60,deporte,mañana,1
190,28/11/2025,Clase de yoga,164,343,60,deporte,mañana,1
191,28/11/2025,Starbucks,68,118,15,alimentos,mañana,1
192,29/11/2025,Clase de yoga,129,229,60,deporte,mañana,1
193,29/11/2025,Snack,45,116,15,alimentos,tarde,1
194,29/11/2025,Gasolina,1321,1521,15,transporte,tarde,1
195,30/11/2025,Desayuno,159,259,60,alimentos,mañana,2
196,30/11/2025,Desayuno,146,246,60,alimentos,mañana,3
197,1/12/2025,Clase de yoga,121,398,60,deporte,mañana,1
198,1/12/2025,Starbucks,73,123,15,alimentos,mañana,1
199,1/12/2025,Clase de cross,170,301,60,deporte,mañana,1
200,2/12/2025,Clase de yoga,149,276,60,deporte,mañana,1
201,2/12/2025,Starbucks,110,160,15,alimentos,mañana,1
202,,,,,,,,
203,,,,,,,,
204,,,,,,,,
205,,,,,,,,
206,,,,,,,,
207,,,,,,,,
208,,,,,,,,
209,,,,,,,,
210,,,,,,,,
211,,,,,,,,
212,,,,,,,,
213,,,,,,,,
214,,,,,,,,
215,,,,,,,,
216,,,,,,,,
217,,,,,,,,
218,,,,,,,,
219,,,,,,,,
220,,,,,,,,
221,,,,,,,,
222,,,,,,,,
223,,,,,,,,
224,,,,,,,,
225,,,,,,,,
226,,,,,,,,
227,,,,,,,,
228,,,,,,,,
229,,,,,,,,
230,,,,,,,,
231,,,,,,,,
232,,,,,,,,
233,,,,,,,,
234,,,,,,,,
235,,,,,,,,
236,,,,,,,,
237,,,,,,,,
238,,,,,,,,
239,,,,,,,,
240,,,,,,,,
241,,,,,,,,
242,,,,,,,,
243,,,,,,,,
244,,,,,,,,
245,,,,,,,,
246,,,,,,,,
247,,,,,,,,
248,,,,,,,,
249,,,,,,,,
250,,,,,,,,
251,,,,,,,,
252,,,,,,,,
253,,,,,,,,
254,,,,,,,,
255,,,,,,,,
256,,,,,,,,
257,,,,,,,,
258,,,,,,,,
259,,,,,,,,
260,,,,,,,,
261,,,,,,,,
262,,,,,,,,
263,,,,,,,,
264,,,,,,,,
265,,,,,,,,
266,,,,,,,,
267,,,,,,,,
268,,,,,,,,
269,,,,,,,,
270,,,,,,,,
271,,,,,,,,
272,,,,,,,,
273,,,,,,,,
274,,,,,,,,
275,,,,,,,,
276,,,,,,,,
277,,,,,,,,
278,,,,,,,,
279,,,,,,,,
280,,,,,,,,
281,,,,,,,,
282,,,,,,,,
283,,,,,,,,
284,,,,,,,,
285,,,,,,,,
286,,,,,,,,
287,,,,,,,,
288,,,,,,,,
289,,,,,,,,
290,,,,,,,,
291,,,,,,,,
292,,,,,,,,
293,,,,,,,,
294,,,,,,,,
295,,,,,,,,
296,,,,,,,,
297,,,,,,,,
298,,,,,,,,
299,,,,,,,,
300,,,,,,,,
